Stream Trained,Job Role,Placement Number,Placement: Resource: Full Name,Operating Location Name,FDM Office,Start Date,End Date,Degree Classification,University of Study,Degree Subject
Development (Java),Consulting,803,First Name Surname 803,Birmingham New Street,Ireland,25/05/2015,24/05/2016,2:2,Manchester Metropolitan University,Forensic Computing
Development (Java),Consulting,804,First Name Surname 804,Birmingham New Street,Ireland,25/05/2015,25/05/2016,2:2,De Montfort University,Accounting and Finance
Application Support,Support,882,First Name Surname 882,Newcastle,London,26/05/2015,29/11/2015,2:2,Swansea University,Physics and Astronomy
PMO,PMO,796,First Name Surname 796,Leeds Centre,London,26/05/2015,18/12/2015,2:1,Cardiff University,Politics
PMO,PMO,824,First Name Surname 824,Birmingham New Street,London,26/05/2015,31/12/2015,2:2,Coventry University,Chemistry
Data Analyst,Business Analysis,754,First Name Surname 754,Newcastle,London,26/05/2015,31/03/2016,1,University of York,Politics
Development (.Net),Consulting,775,First Name Surname 775,Newcastle,London,26/05/2015,31/03/2016,2:1,Bangor University,Marketing
Development (.Net),Consulting,794,First Name Surname 794,Newcastle,London,26/05/2015,31/03/2016,2:2,University of Manchester,Chemistry
PMO,PMO,757,First Name Surname 757,Newcastle,London,26/05/2015,03/05/2016,2:2,Nottingham Trent University,Mathematics
Application Support,Consulting,779,First Name Surname 779,Birmingham New Street,London,26/05/2015,25/05/2016,2:1,De Montfort University,History
Application Support,Support,759,First Name Surname 759,Newcastle,London,26/05/2015,30/06/2016,2:1,University of Warwick,Electrical and Electronic Engineering
PMO,PMO,827,First Name Surname 827,Oxford Circus,Leeds,27/05/2015,31/12/2015,2:1,De Montfort University,Civil Engineering
PMO,Business Analysis,840,First Name Surname 840,Edinburgh,London,01/06/2015,30/11/2015,2:1,Loughbourgh University,Mathematics
Testing,Testing,768,First Name Surname 768,Birmingham New Street,London,01/06/2015,31/12/2015,2:2,Bangor University,Politics
Testing,Testing,816,First Name Surname 816,Leeds Centre,Leeds,01/06/2015,31/12/2015,3,University of Salford,Civil Engineering
Application Support,Support,753,First Name Surname 753,Moorgate,London,01/06/2015,26/02/2016,2:2,University of York,Computer Science
Development (Java),Consulting,821,First Name Surname 821,Oxford Circus,London,01/06/2015,01/03/2016,2:1,University College London,Biological Sciences
Testing,Testing,838,First Name Surname 838,Birmingham New Street,Leeds,01/06/2015,04/03/2016,2:1,University of Brighton,Biological Sciences
Technical,Data Services,834,First Name Surname 834,Leeds Centre,London,01/06/2015,31/05/2016,1,University of Huddersfield,Law
Development (Java),Consulting,812,First Name Surname 812,Leeds Centre,London,01/06/2015,31/05/2016,1,Glasgow Caledonian University,Politics
Development (Java),Consulting,758,First Name Surname 758,Birmingham New Street,London,01/06/2015,30/06/2016,2:2,University of Warwick,Politics
Business Analysis,Business Analysis,869,First Name Surname 869,Leeds Centre,London,02/06/2015,01/06/2016,2:1,University of Brighton,Politics
Testing,Testing,817,First Name Surname 817,Leeds Centre,Leeds,03/06/2015,08/12/2015,2:2,University of Leicester,Chemistry
Business Analysis,Business Analysis,844,First Name Surname 844,Newcastle,London,08/06/2015,04/12/2015,2:1,London Metropolitan University,Aeronautical Engineering
Business Analysis,Business Analysis,807,First Name Surname 807,Birmingham New Street,London,08/06/2015,18/12/2015,2:2,University of Manchester,Electrical and Electronic Engineering
Testing,Testing,814,First Name Surname 814,Leeds Centre,Leeds,08/06/2015,31/12/2015,3,University of Liverpool,Electrical and Electronic Engineering
Testing,Testing,815,First Name Surname 815,Leeds Centre,Leeds,08/06/2015,31/12/2015,2:2,Nottingham Trent University,Politics
Business Analysis,Data Services,692,First Name Surname 692,Newcastle,London,08/06/2015,31/12/2015,2:2,University of Portsmouth,Accounting and Finance
Business Analysis,Data Services,693,First Name Surname 693,Newcastle,London,08/06/2015,31/12/2015,2:2,University of Glasgow,Mathematics
Business Analysis,Data Services,694,First Name Surname 694,Newcastle,London,08/06/2015,31/12/2015,2:1,Manchester Metropolitan University,Business and Management Studies
PMO,Data Services,695,First Name Surname 695,Newcastle,London,08/06/2015,31/12/2015,2:2,London Metropolitan University,Mechanical Engineering
Business Analysis,Data Services,696,First Name Surname 696,Newcastle,London,08/06/2015,31/12/2015,2:2,Loughbourgh University,Aeronautical Engineering
PMO,Data Services,697,First Name Surname 697,Newcastle,London,08/06/2015,31/12/2015,2:1,Coventry University,Aeronautical Engineering
PMO,Data Services,698,First Name Surname 698,Newcastle,Leeds,08/06/2015,31/12/2015,2:2,University of Brighton,Geography and Environmental Sciences
Testing,Testing,837,First Name Surname 837,Birmingham New Street,Leeds,08/06/2015,15/01/2016,2:1,De Montfort University,History
Testing,Testing,835,First Name Surname 835,Oxford Circus,Leeds,08/06/2015,11/03/2016,2:2,University of Liverpool,Economics
Testing,Testing,839,First Name Surname 839,Birmingham New Street,Leeds,08/06/2015,11/03/2016,2:2,University of Brighton,Mathematics
Testing,Testing,845,First Name Surname 845,Birmingham New Street,London,08/06/2015,31/03/2016,2:1,Cardiff University,Physics and Astronomy
,Consulting,868,First Name Surname 868,Newcastle,London,08/06/2015,31/03/2016,2:2,Glasgow Caledonian University,Geography and Environmental Sciences
PMO,PMO,819,First Name Surname 819,Leeds Centre,London,08/06/2015,31/05/2016,2:1,London Metropolitan University,Electrical and Electronic Engineering
Development (Java),Consulting,813,First Name Surname 813,Leeds Centre,London,08/06/2015,07/06/2016,1,University of Salford,Politics
Testing,Testing,762,First Name Surname 762,Newcastle,London,08/06/2015,07/06/2016,2:2,University College London,Aeronautical Engineering
Testing,Testing,763,First Name Surname 763,Newcastle,London,08/06/2015,07/06/2016,2:2,University of Reading,Civil Engineering
Testing,Testing,764,First Name Surname 764,Newcastle,London,08/06/2015,07/06/2016,2:2,University of Salford,History
Testing,Testing,765,First Name Surname 765,Newcastle,London,08/06/2015,07/06/2016,2:1,Loughbourgh University,Psychology
Testing,Testing,766,First Name Surname 766,Newcastle,London,08/06/2015,07/06/2016,2:2,De Montfort University,Mathematics
PMO,PMO,850,First Name Surname 850,Leeds Centre,London,08/06/2015,30/06/2016,3,Open University,Chemical Engineering
Testing,Consulting,798,First Name Surname 798,Birmingham New Street,Glasgow,08/06/2015,07/06/2017,3,University of Huddersfield,Accounting and Finance
Testing,Consulting,799,First Name Surname 799,Birmingham New Street,Glasgow,08/06/2015,07/06/2017,2:1,University of Essex,Aeronautical Engineering
Testing,Testing,859,First Name Surname 859,Birmingham New Street,London,10/06/2015,31/12/2015,2:1,Cardiff University,Mathematics
Development (Java),Consulting,871,First Name Surname 871,Leeds Centre,Leeds,12/06/2015,31/12/2015,2:1,University of Abertay,Civil Engineering
Development (Java),Consulting,872,First Name Surname 872,Leeds Centre,Leeds,12/06/2015,31/12/2015,3,Bangor University,Games Design
Development (Java),Consulting,873,First Name Surname 873,Leeds Centre,Leeds,12/06/2015,31/12/2015,2:1,University of Reading,Mechanical Engineering
Development (Java),Consulting,874,First Name Surname 874,Leeds Centre,Leeds,12/06/2015,31/12/2015,2:2,University of York,Computer Science
Testing,Testing,881,First Name Surname 881,Leeds Centre,London,13/06/2015,01/12/2015,2:1,Nottingham Trent University,Biological Sciences
Business Analysis,PMO,843,First Name Surname 843,Birmingham New Street,London,15/06/2015,15/12/2015,2:1,Newcastle University ,Geography and Environmental Sciences
Testing,Testing,861,First Name Surname 861,Birmingham New Street,London,15/06/2015,31/12/2015,2:1,University of Portsmouth,Biological Sciences
Testing,Testing,862,First Name Surname 862,Birmingham New Street,London,15/06/2015,31/12/2015,2:2,Swansea University,Mechanical Engineering
Testing,Testing,863,First Name Surname 863,Birmingham New Street,London,15/06/2015,31/12/2015,2:1,University of Salford,Chemistry
Testing,Testing,864,First Name Surname 864,Birmingham New Street,London,15/06/2015,31/12/2015,2:1,University of Huddersfield,Mechanical Engineering
Testing,Testing,865,First Name Surname 865,Birmingham New Street,London,15/06/2015,31/12/2015,2:1,University of Warwick,Politics
Testing,Testing,866,First Name Surname 866,Birmingham New Street,London,15/06/2015,31/12/2015,2:2,Open University,Mechanical Engineering
Testing,Testing,867,First Name Surname 867,Birmingham New Street,London,15/06/2015,31/12/2015,2:1,University of Essex,Mathematics
Testing,Testing,870,First Name Surname 870,Birmingham New Street,London,15/06/2015,31/12/2015,2:1,University of Manchester,Marketing
Testing,Testing,885,First Name Surname 885,Birmingham New Street,London,15/06/2015,31/12/2015,2:2,University College London,Geography and Environmental Sciences
Business,Testing,849,First Name Surname 849,Leeds Centre,Leeds,15/06/2015,31/12/2015,1,De Montfort University,Physics and Astronomy
Data Analyst,Data Services,805,First Name Surname 805,Leeds Centre,London,15/06/2015,31/12/2015,2:2,Coventry University,History
Business Analysis,Data Services,780,First Name Surname 780,Moorgate,London,15/06/2015,31/12/2015,2:2,Open University,Mechanical Engineering
Testing,Business Analysis,886,First Name Surname 886,Edinburgh,London,15/06/2015,31/12/2015,2:2,London Metropolitan University,Mathematics
Testing,Testing,858,First Name Surname 858,Birmingham New Street,Leeds,15/06/2015,11/03/2016,3,University College London,Politics
Business Analysis,Business Analysis,890,First Name Surname 890,Leeds Centre,London,15/06/2015,16/03/2016,2:2,Bangor University,Civil Engineering
Testing,Testing,836,First Name Surname 836,Birmingham New Street,Leeds,15/06/2015,18/03/2016,1,University of Sheffield,Business and Management Studies
Development (Java),Consulting,940,First Name Surname 940,Moorgate,London,15/06/2015,23/03/2016,2:2,University of St Andrews,Civil Engineering
PMO,PMO,829,First Name Surname 829,Leeds Centre,London,15/06/2015,05/06/2016,2:1,London Metropolitan University,Politics
Development (Java),Consulting,852,First Name Surname 852,Birmingham New Street,Ireland,15/06/2015,10/06/2016,2:1,University of Chester,Aeronautical Engineering
PMO,Data Services,880,First Name Surname 880,Leeds Centre,London,15/06/2015,10/06/2016,2:1,University of Nottingham,Physics and Astronomy
PMO,PMO,896,First Name Surname 896,Newcastle,Leeds,15/06/2015,14/06/2016,2:1,University of East Anglia,Robotics
PMO,PMO,818,First Name Surname 818,Leeds Centre,London,15/06/2015,15/06/2016,2:1,University of Abertay,Computer Science
PMO,PMO,811,First Name Surname 811,Leeds Centre,London,15/06/2015,18/06/2016,2:1,Glasgow Caledonian University,Mechanical Engineering
Development (Java),Consulting,889,First Name Surname 889,Leeds Centre,London,15/06/2015,01/07/2016,1,Swansea University,Economics
Data Analyst,Data Services,801,First Name Surname 801,Leeds Centre,London,16/06/2015,31/12/2015,2:2,London Metropolitan University,Chemistry
PMO,PMO,802,First Name Surname 802,Leeds Centre,London,16/06/2015,31/12/2015,2:1,University of St Andrews,Accounting and Finance
Application Support,Support,832,First Name Surname 832,Leeds Centre,London,16/06/2015,15/06/2016,2:2,University of Nottingham,Accounting and Finance
Development (Java),Support,833,First Name Surname 833,Leeds Centre,London,16/06/2015,15/06/2016,3,Open University,Chemical Engineering
Application Support,Support,860,First Name Surname 860,Leeds Centre,London,16/06/2015,15/06/2016,2:2,Cardiff University,Politics
PMO,PMO,810,First Name Surname 810,Leeds Centre,London,16/06/2015,15/06/2016,3,University of Brighton,Physics and Astronomy
Testing,Testing,855,First Name Surname 855,Edinburgh,London,17/06/2015,17/12/2015,3,Coventry University,Civil Engineering
Testing,Testing,856,First Name Surname 856,Edinburgh,London,17/06/2015,17/12/2015,2:1,University of Liverpool,English
Testing,Testing,854,First Name Surname 854,Edinburgh,London,17/06/2015,16/06/2016,2:1,University of East Anglia,Psychology
Testing,Testing,853,First Name Surname 853,Edinburgh,London,17/06/2015,18/06/2016,2:2,Cardiff University,Accounting and Finance
Development (Java),Support,904,First Name Surname 904,Moorgate,London,22/06/2015,22/12/2015,2:2,University of Glasgow,Electrical and Electronic Engineering
Development (Java),Consulting,788,First Name Surname 788,Birmingham New Street,Leeds,22/06/2015,24/12/2015,3,University of St Andrews,History
Development (Java),Consulting,791,First Name Surname 791,Birmingham New Street,Leeds,22/06/2015,24/12/2015,2:2,Newcastle University ,Politics
Development (Java),Consulting,792,First Name Surname 792,Birmingham New Street,Leeds,22/06/2015,24/12/2015,2:1,University of Brighton,Physics and Astronomy
PMO,PMO,909,First Name Surname 909,Moorgate,London,22/06/2015,31/12/2015,2:1,University College London,Geography and Environmental Sciences
Development (Java),Consulting,783,First Name Surname 783,Newcastle,London,22/06/2015,01/05/2016,2:2,University of St Andrews,Civil Engineering
Development (Java),Consulting,784,First Name Surname 784,Newcastle,London,22/06/2015,01/05/2016,1,University of York,Chemical Engineering
Data Analyst,Data Services,820,First Name Surname 820,Leeds Centre,London,22/06/2015,10/06/2016,2:2,Manchester Metropolitan University,Mathematics
Data Analyst,Data Services,851,First Name Surname 851,Leeds Centre,London,22/06/2015,10/06/2016,2:2,University of Abertay,Modern Languages
Technical,Data Services,878,First Name Surname 878,Leeds Centre,London,22/06/2015,10/06/2016,1,De Montfort University,Accounting and Finance
PMO,Data Services,879,First Name Surname 879,Leeds Centre,London,22/06/2015,10/06/2016,2:1,Cardiff University,History
Business Intelligence,Business Intelligence,830,First Name Surname 830,Moorgate,Leeds,22/06/2015,17/06/2016,2:2,University College London,Business and Management Studies
Business Intelligence,Business Intelligence,831,First Name Surname 831,Moorgate,Leeds,22/06/2015,17/06/2016,2:2,University of Nottingham,Computer Science
Data Analyst,Data Services,883,First Name Surname 883,Leeds Centre,London,22/06/2015,19/06/2016,2:2,University of Sheffield,Mechanical Engineering
Data Analyst,Data Services,884,First Name Surname 884,Leeds Centre,London,22/06/2015,19/06/2016,2:2,University of Leicester,Accounting and Finance
PMO,Consulting,875,First Name Surname 875,Birmingham New Street,Glasgow,22/06/2015,21/06/2016,1,Cardiff University,Politics
Data Analyst,Data Services,892,First Name Surname 892,Birmingham New Street,London,22/06/2015,21/06/2016,2:1,Coventry University,Physics and Astronomy
Data Scientist,Data Services,782,First Name Surname 782,Leeds Centre,London,22/06/2015,21/06/2016,2:1,Nottingham Trent University,Mechanical Engineering
Testing,Testing,841,First Name Surname 841,Moorgate,London,22/06/2015,21/06/2016,2:1,University of Glasgow,Law
